Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Class
14,18,43,12,3,18,2,14,1
1,6,6,22,4,28,0,1,1
21,10,23,32,5,22,23,27,1
30,8,54,13,1,63,3,1,1
26,9,40,5,7,67,4,40,1
20,7,29,11,3,2,30,74,1
12,6,22,26,3,49,29,45,1
54,9,6,17,2,14,42,91,1
61,15,9,0,4,34,2,70,1
34,7,3,9,13,61,14,12,1
58,15,10,5,3,45,37,41,1
38,12,26,24,9,3,40,52,1
13,6,7,2,1,12,3,24,1
1,11,36,28,5,8,3,7,1
6,3,15,27,0,24,17,28,1
24,25,24,4,1,12,0,13,1
32,7,5,3,7,63,16,35,1
3,6,7,2,4,23,10,20,1
0,10,21,12,3,31,4,11,1
7,7,25,12,19,19,13,8,1
25,7,26,18,5,32,29,63,1
19,0,2,4,10,8,32,72,1
30,1,10,4,1,1,5,0,1
9,7,0,1,4,14,23,58,1
43,14,11,27,5,19,27,37,1
15,7,10,3,3,29,4,5,1
18,5,37,2,7,3,4,9,1
66,14,5,10,7,7,9,28,1
29,14,46,2,2,1,1,13,1
29,6,10,1,7,26,5,4,1
12,16,45,11,2,21,24,58,1
5,12,2,10,3,24,12,27,1
40,24,45,19,5,2,32,53,1
13,12,10,9,12,0,8,11,1
27,2,9,8,0,43,17,11,1
12,17,2,11,3,45,2,53,1
4,3,74,15,15,46,2,18,1
40,21,31,24,1,38,8,70,1
24,1,16,19,4,20,29,45,1
12,13,11,2,12,22,8,11,1
18,9,32,18,4,16,2,15,1
5,8,25,33,2,5,21,16,1
59,7,5,15,2,18,11,15,1
71,13,42,2,4,41,37,23,1
11,15,43,6,6,17,1,14,1
19,7,4,4,19,59,7,21,1
12,24,33,28,7,26,2,13,1
21,11,16,13,5,12,25,68,1
23,20,19,26,5,3,1,11,1
27,4,17,4,15,19,14,18,1
6,3,14,10,9,3,10,16,1
12,3,0,16,12,5,23,15,1
35,8,3,20,17,55,11,12,1
61,7,4,10,5,30,58,60,1
0,6,2,0,6,2,5,6,1
45,12,35,32,8,20,3,22,1
1,12,41,65,4,4,4,35,1
8,2,1,21,2,28,32,25,1
25,14,5,17,9,12,16,19,1
5,2,1,11,1,9,4,27,1
58,32,1,1,8,12,20,48,1
20,10,15,2,1,6,9,6,1
3,2,16,6,3,31,5,5,1
23,13,92,5,39,8,39,62,1
1,1,3,4,19,19,14,0,1
64,8,4,6,5,41,20,71,1
32,13,57,0,12,16,13,2,1
48,8,21,17,9,22,22,37,1
23,13,3,6,7,12,0,0,1
30,2,13,10,2,18,7,32,1
11,16,13,5,5,13,20,59,1
59,13,35,6,4,30,9,48,1
4,13,45,6,1,11,1,20,1
32,3,27,6,10,28,5,9,1
2,3,19,8,7,0,19,51,1
20,1,12,43,8,36,18,55,1
24,2,6,30,7,67,22,13,1
52,1,20,27,9,43,3,8,1
69,6,11,11,0,18,1,17,1
4,6,5,7,0,20,18,22,1
55,9,8,22,3,66,1,9,1
3,10,13,28,1,7,4,49,1
28,17,22,11,13,82,45,87,1
12,13,2,12,13,23,24,17,1
41,10,18,4,30,31,2,16,1
51,2,10,2,10,18,13,33,1
1,2,6,7,16,19,36,50,1
77,12,55,41,19,26,32,72,1
49,17,70,59,10,48,53,19,1
15,3,8,9,2,11,3,5,1
9,4,8,18,0,12,3,13,1
22,7,5,25,13,3,27,16,1
54,37,67,38,1,71,6,5,1
24,4,10,3,0,33,11,9,1
11,1,2,5,4,14,16,29,1
32,12,18,1,8,9,12,30,1
7,15,40,14,3,37,18,41,1
13,5,11,6,11,126,3,81,1
38,1,10,30,2,59,35,23,1
14,7,28,16,19,62,6,24,1
10,5,8,20,16,95,3,26,1
28,1,12,13,6,33,2,5,1
16,13,17,25,1,2,12,51,1
35,12,25,1,2,26,7,24,1
30,4,18,54,17,20,11,46,1
14,10,6,23,7,8,11,21,1
10,7,8,6,3,51,1,14,1
20,15,24,34,0,22,10,7,1
18,0,14,25,14,20,15,35,1
42,1,1,8,15,61,2,7,1
31,9,13,10,6,77,24,20,1
52,16,37,15,20,53,20,26,1
50,11,16,24,13,25,3,4,1
10,9,6,19,4,26,25,35,1
28,7,9,17,6,13,20,55,1
29,6,1,14,5,22,1,29,1
12,3,24,10,16,30,15,5,1
